src,dst
0,1
0,2
0,3
0,4
2,5
2,6
7,16
7,17
8,18
8,19
9,20
9,21
10,22
10,23
11,24
12,25
13,26
13,27
14,28
14,29
15,30
15,31
17,33
17,34
17,35
19,36
19,37
19,38
21,39
21,40
23,41
26,42
28,43
30,44
32,45
32,46
35,47
38,48
40,49
40,50
40,51
41,52
46,53
50,56
52,57
54,68
55,70
56,72
57,75
58,76
58,77
59,78
60,79
61,80
61,81
62,82
63,83
64,84
64,85
65,86
66,87
67,88
67,89
69,90
69,91
71,92
71,93
71,94
95,105
95,106
96,107
97,108
98,109
99,110
100,111
101,112
102,113
103,114
110,115
112,116
113,117
118,119
118,120
118,121
119,122
119,123
119,124
119,125
120,126
120,127
120,128
120,129
120,130
121,131
121,132
121,133
125,135
125,136
125,137
125,138
130,139
130,140
130,141
130,142
130,143
133,144
133,145
133,146
133,147
133,148
133,149
133,150
133,151
133,152
133,153
134,154
134,155
136,156
137,157
137,158
138,159
140,160
141,161
141,162
142,163
142,164
143,165
145,166
145,167
146,168
147,169
148,170
149,171
150,173
151,174
152,176
152,177
153,178
158,180
166,182
167,183
168,185
169,186
170,188
171,190
172,192
172,193
174,197
174,198
175,199
175,200
179,201
181,203
185,208
185,209
186,211
186,212
188,213
188,214
188,215
190,216
190,217
190,218
190,219
193,220
194,221
197,224
197,225
198,226
198,227
202,231
202,232
204,233
206,234
206,235
208,236
209,237
210,238
210,239
222,240
223,241
225,242
226,243
227,244
228,245
228,246
242,248
251,253
251,254
252,255
256,257
256,258
256,259
256,260
256,261
256,262
256,263
256,264
260,265
260,266
261,267
261,268
262,269
262,270
262,271
262,272
263,273
263,274
263,275
263,276
263,277
264,278
264,279
264,280
264,281
266,283
266,284
266,285
266,286
266,287
266,288
266,289
266,290
266,291
266,292
266,293
266,294
266,295
266,296
266,297
266,298
266,299
266,300
266,301
266,302
266,303
266,304
266,305
266,306
266,307
266,308
266,309
266,310
266,311
266,312
268,313
268,314
268,315
282,316
282,317
314,318
315,319
319,330
320,331
320,332
321,333
321,334
322,335
322,336
323,337
323,338
324,339
324,340
325,341
326,342
326,343
327,344
327,345
328,346
340,349
340,350
347,351
352,353
354,356
355,357
355,358
359,360
359,361
359,362
363,364
363,365
364,366
367,382
367,383
368,384
368,385
369,386
369,387
370,388
370,389
371,390
371,391
372,392
372,393
373,394
373,395
374,396
374,397
375,398
375,399
376,400
376,401
377,402
377,403
378,404
378,405
379,406
379,407
380,408
380,409
381,410
381,411
382,412
384,413
386,414
388,415
390,416
392,417
394,418
396,419
398,420
400,421
402,422
404,423
406,424
408,425
410,426
412,427
428,494
429,495
429,496
430,497
430,498
431,499
431,500
432,501
433,502
434,503
435,504
436,505
437,506
437,507
438,508
438,509
439,510
439,511
444,512
445,513
446,514
447,515
448,516
449,517
450,518
451,519
453,520
453,521
454,522
454,523
455,524
455,525
456,526
457,527
458,528
459,529
460,530
461,531
461,532
462,533
463,534
464,535
465,536
466,537
467,538
468,539
468,540
469,541
469,542
470,543
470,544
471,545
471,546
472,547
472,548
473,549
473,550
474,551
474,552
475,553
475,554
476,555
476,556
477,557
477,558
478,559
478,560
479,561
479,562
480,563
480,564
481,565
481,566
482,567
482,568
483,569
483,570
484,571
484,572
485,573
485,574
486,575
486,576
487,577
487,578
488,579
488,580
489,581
489,582
490,583
490,584
491,585
491,586
492,587
492,588
493,589
493,590
508,591
508,592
510,593
522,594
522,595
522,596
524,597
541,598
541,599
543,600
547,601
549,602
551,603
553,604
555,605
557,606
559,607
561,608
563,609
565,610
567,611
569,612
571,613
573,614
575,615
577,616
579,617
581,618
583,619
585,620
587,621
589,622
601,623
602,624
603,625
604,626
605,627
606,628
607,629
608,630
608,631
609,632
610,633
611,634
612,635
612,636
612,637
612,638
613,639
614,640
615,641
616,642
617,643
618,644
619,645
620,646
621,647
622,648
649,967
650,968
651,969
652,970
653,971
653,972
654,973
655,974
656,975
657,976
658,977
659,978
660,979
661,980
662,981
663,982
664,983
665,984
665,985
666,986
667,987
668,988
669,989
670,990
671,991
672,992
672,993
673,994
674,995
675,996
676,997
677,998
678,999
679,1000
680,1001
681,1002
682,1003
683,1004
684,1005
685,1006
686,1007
687,1008
687,1009
688,1010
689,1011
690,1012
691,1013
692,1014
692,1015
693,1016
694,1017
695,1018
696,1019
697,1020
697,1021
698,1022
699,1023
700,1024
701,1025
702,1026
702,1027
703,1028
703,1029
704,1030
704,1031
705,1032
705,1033
706,1034
707,1035
708,1036
709,1037
710,1038
711,1039
711,1040
712,1041
713,1042
714,1043
715,1044
716,1045
717,1046
718,1047
719,1048
720,1049
721,1050
722,1051
723,1052
724,1053
724,1054
725,1055
725,1056
726,1057
726,1058
727,1059
727,1060
728,1061
728,1062
729,1063
729,1064
730,1065
730,1066
731,1067
731,1068
732,1069
733,1070
734,1071
735,1072
736,1073
736,1074
737,1075
737,1076
738,1077
738,1078
739,1079
739,1080
740,1081
740,1082
741,1083
741,1084
742,1085
742,1086
743,1087
743,1088
744,1089
745,1090
746,1091
746,1092
747,1093
748,1094
749,1095
749,1096
750,1097
751,1098
752,1099
753,1100
754,1101
755,1102
756,1103
757,1104
758,1105
759,1106
760,1107
761,1108
761,1109
762,1110
763,1111
764,1112
765,1113
766,1114
767,1115
768,1116
769,1117
769,1118
770,1119
770,1120
771,1121
772,1122
773,1123
773,1124
774,1125
775,1126
776,1127
777,1128
778,1129
779,1130
780,1131
781,1132
782,1133
783,1134
784,1135
785,1136
785,1137
786,1138
787,1139
788,1140
789,1141
790,1142
791,1143
792,1144
793,1145
794,1146
795,1147
796,1148
796,1149
797,1150
798,1151
799,1152
800,1153
801,1154
802,1155
803,1156
803,1157
804,1158
804,1159
805,1160
806,1161
807,1162
807,1163
808,1164
809,1165
810,1166
811,1167
812,1168
813,1169
814,1170
815,1171
816,1172
817,1173
818,1174
819,1175
819,1176
820,1177
821,1178
822,1179
823,1180
824,1181
825,1182
826,1183
827,1184
828,1185
829,1186
830,1187
830,1188
831,1189
832,1190
833,1191
834,1192
835,1193
836,1194
837,1195
838,1196
839,1197
840,1198
841,1199
841,1200
842,1201
842,1202
843,1203
844,1204
845,1205
846,1206
847,1207
847,1208
848,1209
849,1210
850,1211
851,1212
852,1213
853,1214
854,1215
855,1216
856,1217
857,1218
858,1219
859,1220
860,1221
861,1222
861,1223
862,1224
863,1225
864,1226
865,1227
866,1228
867,1229
868,1230
869,1231
870,1232
870,1233
871,1234
872,1235
873,1236
874,1237
875,1238
875,1239
876,1240
877,1241
878,1242
879,1243
880,1244
881,1245
882,1246
883,1247
884,1248
885,1249
886,1250
887,1251
887,1252
888,1253
889,1254
890,1255
891,1256
892,1257
892,1258
893,1259
894,1260
895,1261
896,1262
897,1263
898,1264
899,1265
899,1266
900,1267
901,1268
902,1269
903,1270
904,1271
904,1272
905,1273
906,1274
907,1275
908,1276
909,1277
910,1278
911,1279
911,1280
912,1281
913,1282
914,1283
915,1284
916,1285
916,1286
